Summary
[Data Information]
Data is:,Measurement Data
352.0,0.164
353.0,0.164
354.0,0.164
355.0,0.163
356.0,0.163
357.0,0.163
358.0,0.163
359.0,0.163
360.0,0.162
361.0,0.162
362.0,0.162
363.0,0.163
364.0,0.162
365.0,0.162
366.0,0.160
367.0,0.160
368.0,0.160
369.0,0.161
370.0,0.160
371.0,0.160
372.0,0.160
373.0,0.159
374.0,0.159
375.0,0.158
376.0,0.158
377.0,0.158
378.0,0.157
379.0,0.157
380.0,0.157
381.0,0.156
382.0,0.156
383.0,0.156
384.0,0.156
385.0,0.155
386.0,0.155
387.0,0.154
388.0,0.154
389.0,0.154
390.0,0.154
391.0,0.154
392.0,0.153
393.0,0.153
394.0,0.152
395.0,0.152
396.0,0.151
397.0,0.151
398.0,0.151
399.0,0.150
400.0,0.149
401.0,0.149
402.0,0.149
403.0,0.149
404.0,0.148
405.0,0.148
406.0,0.148
407.0,0.148
408.0,0.147
409.0,0.147
410.0,0.146
411.0,0.146
412.0,0.145
413.0,0.145
414.0,0.145
415.0,0.145
416.0,0.144
417.0,0.144
418.0,0.143
419.0,0.143
420.0,0.143
421.0,0.143
422.0,0.143
423.0,0.142
424.0,0.142
425.0,0.141
426.0,0.141
427.0,0.141
428.0,0.140
429.0,0.140
430.0,0.140
431.0,0.140
432.0,0.139
433.0,0.139
434.0,0.139
435.0,0.138
436.0,0.138
437.0,0.137
438.0,0.137
439.0,0.137
440.0,0.137
441.0,0.137
442.0,0.137
443.0,0.137
444.0,0.137
445.0,0.136
446.0,0.136
447.0,0.136
448.0,0.135
449.0,0.135
450.0,0.135
451.0,0.135
452.0,0.135
453.0,0.134
454.0,0.134
455.0,0.134
456.0,0.133
457.0,0.133
458.0,0.133
459.0,0.133
460.0,0.133
461.0,0.133
462.0,0.133
463.0,0.133
464.0,0.133
465.0,0.133
466.0,0.133
467.0,0.133
468.0,0.133
469.0,0.134
470.0,0.134
471.0,0.133
472.0,0.134
473.0,0.134
474.0,0.134
475.0,0.135
476.0,0.135
477.0,0.135
478.0,0.136
479.0,0.136
480.0,0.137
481.0,0.137
482.0,0.138
483.0,0.138
484.0,0.139
485.0,0.140
486.0,0.141
487.0,0.142
488.0,0.143
489.0,0.144
490.0,0.146
491.0,0.147
492.0,0.148
493.0,0.149
494.0,0.151
495.0,0.152
496.0,0.154
497.0,0.155
498.0,0.157
499.0,0.158
500.0,0.159
501.0,0.161
502.0,0.163
503.0,0.164
504.0,0.166
505.0,0.167
506.0,0.168
507.0,0.169
508.0,0.170
509.0,0.171
510.0,0.171
511.0,0.172
512.0,0.173
513.0,0.173
514.0,0.173
515.0,0.173
516.0,0.173
517.0,0.174
518.0,0.173
519.0,0.173
520.0,0.173
521.0,0.173
522.0,0.172
523.0,0.172
524.0,0.172
525.0,0.171
526.0,0.170
527.0,0.170
528.0,0.169
529.0,0.168
530.0,0.168
531.0,0.167
532.0,0.167
533.0,0.166
534.0,0.165
535.0,0.164
536.0,0.163
537.0,0.162
538.0,0.162
539.0,0.161
540.0,0.159
541.0,0.158
542.0,0.157
543.0,0.156
544.0,0.155
545.0,0.153
546.0,0.152
547.0,0.151
548.0,0.149
549.0,0.148
550.0,0.146
551.0,0.145
552.0,0.143
553.0,0.141
554.0,0.140
555.0,0.138
556.0,0.137
557.0,0.135
558.0,0.133
559.0,0.131
560.0,0.130
561.0,0.128
562.0,0.126
563.0,0.124
564.0,0.122
565.0,0.120
566.0,0.118
567.0,0.116
568.0,0.114
569.0,0.112
570.0,0.110
571.0,0.108
572.0,0.107
573.0,0.105
574.0,0.103
575.0,0.101
576.0,0.100
577.0,0.098
578.0,0.097
579.0,0.096
580.0,0.094
581.0,0.093
582.0,0.091
583.0,0.090
584.0,0.088
585.0,0.087
586.0,0.086
587.0,0.085
588.0,0.084
589.0,0.083
590.0,0.082
591.0,0.081
592.0,0.080
593.0,0.079
594.0,0.078
595.0,0.078
596.0,0.077
597.0,0.076
598.0,0.075
599.0,0.075
600.0,0.074
601.0,0.074
602.0,0.074
603.0,0.073
604.0,0.073
605.0,0.073
606.0,0.072
607.0,0.072
608.0,0.072
609.0,0.072
610.0,0.072
611.0,0.072
612.0,0.072
613.0,0.071
614.0,0.071
615.0,0.071
616.0,0.072
617.0,0.072
618.0,0.072
619.0,0.072
620.0,0.072
621.0,0.072
622.0,0.073
623.0,0.073
624.0,0.074
625.0,0.074
626.0,0.075
627.0,0.075
628.0,0.076
629.0,0.076
630.0,0.077
631.0,0.078
632.0,0.079
633.0,0.079
634.0,0.080
635.0,0.081
636.0,0.082
637.0,0.083
638.0,0.084
639.0,0.085
640.0,0.086
641.0,0.087
642.0,0.088
643.0,0.090
644.0,0.091
645.0,0.092
646.0,0.094
647.0,0.095
648.0,0.097
649.0,0.098
650.0,0.100
651.0,0.102
652.0,0.103
653.0,0.105
654.0,0.107
655.0,0.109
656.0,0.111
657.0,0.113
658.0,0.116
659.0,0.118
660.0,0.121
661.0,0.123
662.0,0.126
663.0,0.129
664.0,0.131
665.0,0.134
666.0,0.137
667.0,0.140
668.0,0.143
669.0,0.147
670.0,0.150
671.0,0.154
672.0,0.157
673.0,0.161
674.0,0.164
675.0,0.168
676.0,0.172
677.0,0.177
678.0,0.181
679.0,0.185
680.0,0.189
681.0,0.194
682.0,0.198
683.0,0.203
684.0,0.208
685.0,0.212
686.0,0.217
687.0,0.222
688.0,0.227
689.0,0.233
690.0,0.238
691.0,0.243
692.0,0.248
693.0,0.253
694.0,0.259
695.0,0.264
696.0,0.270
697.0,0.276
698.0,0.282
699.0,0.288
700.0,0.294
701.0,0.300
702.0,0.306
703.0,0.312
704.0,0.318
705.0,0.324
706.0,0.330
707.0,0.335
708.0,0.341
709.0,0.347
710.0,0.353
711.0,0.359
712.0,0.364
713.0,0.370
714.0,0.376
715.0,0.381
716.0,0.387
717.0,0.392
718.0,0.397
719.0,0.402
720.0,0.407
721.0,0.413
722.0,0.418
723.0,0.422
724.0,0.427
725.0,0.432
726.0,0.436
727.0,0.440
728.0,0.444
729.0,0.449
730.0,0.452
731.0,0.456
732.0,0.458
733.0,0.461
734.0,0.464
735.0,0.467
736.0,0.470
737.0,0.472
738.0,0.475
739.0,0.477
740.0,0.479
741.0,0.481
742.0,0.482
743.0,0.483
744.0,0.485
745.0,0.486
746.0,0.486
747.0,0.487
748.0,0.487
749.0,0.487
750.0,0.487
751.0,0.487
752.0,0.487
753.0,0.486
754.0,0.485
755.0,0.485
756.0,0.483
757.0,0.482
758.0,0.481
759.0,0.479
760.0,0.477
761.0,0.475
762.0,0.473
763.0,0.470
764.0,0.468
765.0,0.466
766.0,0.463
767.0,0.460
768.0,0.457
769.0,0.454
770.0,0.450
771.0,0.447
772.0,0.443
773.0,0.440
774.0,0.436
775.0,0.432
776.0,0.429
777.0,0.424
778.0,0.421
779.0,0.416
780.0,0.412
781.0,0.407
782.0,0.403
783.0,0.399
784.0,0.394
785.0,0.389
786.0,0.384
787.0,0.380
788.0,0.376
789.0,0.371
790.0,0.366
791.0,0.361
792.0,0.357
793.0,0.352
794.0,0.347
795.0,0.343
796.0,0.338
797.0,0.333
798.0,0.329
799.0,0.324
800.0,0.319
801.0,0.314
802.0,0.308
803.0,0.304
804.0,0.300
805.0,0.296
806.0,0.291
807.0,0.285
808.0,0.280
809.0,0.276
810.0,0.272
811.0,0.267
812.0,0.263
813.0,0.258
814.0,0.254
815.0,0.251
816.0,0.247
817.0,0.243
818.0,0.238
819.0,0.234
820.0,0.230
821.0,0.226
822.0,0.222
823.0,0.219
824.0,0.214
825.0,0.210
826.0,0.206
827.0,0.203
828.0,0.199
829.0,0.196
830.0,0.192
831.0,0.189
832.0,0.186
833.0,0.182
834.0,0.178
835.0,0.175
836.0,0.172
837.0,0.169
838.0,0.166
839.0,0.163
840.0,0.160
841.0,0.157
842.0,0.154
843.0,0.151
844.0,0.149
845.0,0.146
846.0,0.143
847.0,0.140
848.0,0.138
849.0,0.135
850.0,0.133
851.0,0.130
852.0,0.128
853.0,0.126
854.0,0.124
855.0,0.121
856.0,0.119
857.0,0.117
858.0,0.115
859.0,0.113
860.0,0.111
861.0,0.109
862.0,0.107
863.0,0.105
864.0,0.103
865.0,0.101
866.0,0.099
867.0,0.097
868.0,0.095
869.0,0.094
870.0,0.092
871.0,0.090
872.0,0.089
873.0,0.087
874.0,0.086
875.0,0.084
876.0,0.083
877.0,0.082
878.0,0.080
879.0,0.079
880.0,0.077
881.0,0.076
882.0,0.075
883.0,0.073
884.0,0.072
885.0,0.071
886.0,0.070
887.0,0.069
888.0,0.067
889.0,0.066
890.0,0.064
891.0,0.063
892.0,0.062
893.0,0.061
894.0,0.060
895.0,0.059
896.0,0.058
897.0,0.057
898.0,0.056
899.0,0.055
900.0,0.054
901.0,0.054
902.0,0.053
903.0,0.052
904.0,0.051
905.0,0.050
906.0,0.049
907.0,0.049
908.0,0.048
909.0,0.047
910.0,0.046
911.0,0.046
912.0,0.045
913.0,0.044
914.0,0.044
915.0,0.043
916.0,0.042
917.0,0.041
918.0,0.041
919.0,0.040
920.0,0.040
921.0,0.039
922.0,0.038
923.0,0.038
924.0,0.037
925.0,0.037
926.0,0.036
927.0,0.035
928.0,0.035
929.0,0.035
930.0,0.034
931.0,0.034
932.0,0.033
933.0,0.032
934.0,0.032
935.0,0.031
936.0,0.031
937.0,0.030
938.0,0.030
939.0,0.030
940.0,0.030
941.0,0.029
942.0,0.029
943.0,0.028
944.0,0.028
945.0,0.027
946.0,0.027
947.0,0.027
948.0,0.026
949.0,0.026
950.0,0.026
951.0,0.026
952.0,0.025
953.0,0.025
954.0,0.025
955.0,0.024
956.0,0.024
957.0,0.024
958.0,0.024
959.0,0.023
960.0,0.023
961.0,0.023
962.0,0.022
963.0,0.022
964.0,0.022
965.0,0.022
966.0,0.021
967.0,0.021
968.0,0.020
969.0,0.020
970.0,0.020
971.0,0.020
972.0,0.020
973.0,0.019
974.0,0.019
975.0,0.019
976.0,0.018
977.0,0.018
978.0,0.018
979.0,0.018
980.0,0.017
981.0,0.017
982.0,0.017
983.0,0.016
984.0,0.016
985.0,0.016
986.0,0.015
987.0,0.015
988.0,0.015
989.0,0.015
990.0,0.014
991.0,0.014
992.0,0.014
993.0,0.014
994.0,0.013
995.0,0.014
996.0,0.013
997.0,0.013
998.0,0.012
999.0,0.012
1000.0,0.012
1001.0,0.012
1002.0,0.012
1003.0,0.011
1004.0,0.011
1005.0,0.011
1006.0,0.011
1007.0,0.011
1008.0,0.011
1009.0,0.010
1010.0,0.010
1011.0,0.010
1012.0,0.010
1013.0,0.010
1014.0,0.010
1015.0,0.009
1016.0,0.009
1017.0,0.009
1018.0,0.009
1019.0,0.009
1020.0,0.009
1021.0,0.009
1022.0,0.008
1023.0,0.008
1024.0,0.008
1025.0,0.008
1026.0,0.008
1027.0,0.008
1028.0,0.008
1029.0,0.008
1030.0,0.008
1031.0,0.008
1032.0,0.007
1033.0,0.007
1034.0,0.007
1035.0,0.007
1036.0,0.007
1037.0,0.007
1038.0,0.007
1039.0,0.007
1040.0,0.007
1041.0,0.006
1042.0,0.006
1043.0,0.006
1044.0,0.006
1045.0,0.006
1046.0,0.006
1047.0,0.006
1048.0,0.006
1049.0,0.006
1050.0,0.006
1051.0,0.006
1052.0,0.006
1053.0,0.006
1054.0,0.006
1055.0,0.006
1056.0,0.005
1057.0,0.005
1058.0,0.005
1059.0,0.005
1060.0,0.005
1061.0,0.005
1062.0,0.005
1063.0,0.005
1064.0,0.005
1065.0,0.005
1066.0,0.005
1067.0,0.005
1068.0,0.005
1069.0,0.005
1070.0,0.005
1071.0,0.005
1072.0,0.004
1073.0,0.004
1074.0,0.004
1075.0,0.004
1076.0,0.004
1077.0,0.004
1078.0,0.004
1079.0,0.004
1080.0,0.004
1081.0,0.004
1082.0,0.004
1083.0,0.004
1084.0,0.004
1085.0,0.004
1086.0,0.004
1087.0,0.004
1088.0,0.004
1089.0,0.004
1090.0,0.004
1091.0,0.004
1092.0,0.004
1093.0,0.004
1094.0,0.004
1095.0,0.003
1096.0,0.003
1097.0,0.003
1098.0,0.003
1099.0,0.003
1100.0,0.003
1101.0,0.003
1102.0,0.003
1103.0,0.003
1104.0,0.003
1105.0,0.003
1106.0,0.003
1107.0,0.003
1108.0,0.003
1109.0,0.003
1110.0,0.003
1111.0,0.003
1112.0,0.003
1113.0,0.003
1114.0,0.003
1115.0,0.003
1116.0,0.003
1117.0,0.003
1118.0,0.003
1119.0,0.003
1120.0,0.003
1121.0,0.003
1122.0,0.003
1123.0,0.003
1124.0,0.003
1125.0,0.003
1126.0,0.003
1127.0,0.003
1128.0,0.003
1129.0,0.003
1130.0,0.003
1131.0,0.003
1132.0,0.003
1133.0,0.003
1134.0,0.003
1135.0,0.003
1136.0,0.004
1137.0,0.004
1138.0,0.004
1139.0,0.004
1140.0,0.004
1141.0,0.005
1142.0,0.005
1143.0,0.005
1144.0,0.005
1145.0,0.005
1146.0,0.006
1147.0,0.006
1148.0,0.006
1149.0,0.006
1150.0,0.006
1151.0,0.006
1152.0,0.006
1153.0,0.006
1154.0,0.006
1155.0,0.006
1156.0,0.006
1157.0,0.006
1158.0,0.006
1159.0,0.006
1160.0,0.005
1161.0,0.005
1162.0,0.005
1163.0,0.005
1164.0,0.005
1165.0,0.005
1166.0,0.004
1167.0,0.004
1168.0,0.004
1169.0,0.003
1170.0,0.003
1171.0,0.003
1172.0,0.003
1173.0,0.003
1174.0,0.003
1175.0,0.003
1176.0,0.003
1177.0,0.003
1178.0,0.002
1179.0,0.002
1180.0,0.002
1181.0,0.002
1182.0,0.002
1183.0,0.002
1184.0,0.002
1185.0,0.002
1186.0,0.001
1187.0,0.001
1188.0,0.001
1189.0,0.000
1190.0,0.000
1191.0,0.001
1192.0,0.001
1193.0,0.001
1194.0,0.001
1195.0,0.001
1196.0,0.000
1197.0,0.000
1198.0,-0.000
1199.0,-0.000
1200.0,-0.001
1201.0,-0.000
1202.0,-0.001
1203.0,-0.001
1204.0,-0.001
1205.0,-0.001
1206.0,-0.001
1207.0,-0.001
1208.0,-0.001
1209.0,-0.001
1210.0,-0.001
1211.0,-0.001
1212.0,-0.002
1213.0,-0.002
1214.0,-0.001
1215.0,-0.001
1216.0,-0.001
1217.0,-0.001
1218.0,-0.001
1219.0,-0.001
1220.0,-0.002
1221.0,-0.002
1222.0,-0.002
1223.0,-0.002
1224.0,-0.002
1225.0,-0.002
1226.0,-0.002
1227.0,-0.002
1228.0,-0.002
1229.0,-0.002
1230.0,-0.003
1231.0,-0.002
1232.0,-0.002
1233.0,-0.002
1234.0,-0.002
1235.0,-0.002
1236.0,-0.002
1237.0,-0.002
1238.0,-0.003
1239.0,-0.002
1240.0,-0.002
1241.0,-0.003
1242.0,-0.003
1243.0,-0.003
1244.0,-0.003
1245.0,-0.003
1246.0,-0.003
1247.0,-0.003
1248.0,-0.003
1249.0,-0.003
1250.0,-0.003
1251.0,-0.003
1252.0,-0.003
1253.0,-0.003
1254.0,-0.003
1255.0,-0.003
1256.0,-0.003
1257.0,-0.003
1258.0,-0.003
1259.0,-0.003
1260.0,-0.003
1261.0,-0.003
1262.0,-0.003
1263.0,-0.002
1264.0,-0.002
1265.0,-0.002
1266.0,-0.002
1267.0,-0.002
1268.0,-0.003
1269.0,-0.003
1270.0,-0.003
1271.0,-0.003
1272.0,-0.002
1273.0,-0.002
1274.0,-0.002
1275.0,-0.002
1276.0,-0.002
1277.0,-0.002
1278.0,-0.002
1279.0,-0.002
1280.0,-0.002
1281.0,-0.002
1282.0,-0.002
1283.0,-0.002
1284.0,-0.002
1285.0,-0.002
1286.0,-0.002
1287.0,-0.002
1288.0,-0.002
1289.0,-0.002
1290.0,-0.002
1291.0,-0.002
1292.0,-0.002
1293.0,-0.002
1294.0,-0.002
1295.0,-0.001
1296.0,-0.002
1297.0,-0.002
1298.0,-0.002
1299.0,-0.002
1300.0,-0.002
